code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,average_score
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,82.0
AAA,2013J,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,66.4
AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,
AAA,2013J,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,76.0
AAA,2013J,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,54.4
AAA,2013J,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,68.0
AAA,2013J,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,68.0
AAA,2013J,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,72.4
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,71.4
AAA,2013J,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,78.0
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,74.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,73.2
AAA,2013J,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,78.6
AAA,2013J,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,76.0
AAA,2013J,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,71.6
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,67.0
AAA,2013J,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,55.6
AAA,2013J,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,80.4
AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,48.5
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,66.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,70.4
AAA,2013J,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,70.8
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,74.0
AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,60.6
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,68.4
AAA,2013J,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,72.6
AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,78.0
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,76.6
AAA,2013J,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,79.6
AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,60.0
AAA,2013J,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,53.4
AAA,2013J,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,63.4
AAA,2013J,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,81.0
AAA,2013J,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,77.6
AAA,2013J,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,71.8
AAA,2013J,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,72.8
AAA,2013J,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,62.4
AAA,2013J,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,74.2
AAA,2013J,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,61.8
AAA,2013J,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,71.4
AAA,2013J,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,69.6
AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,81.0
AAA,2013J,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,67.4
AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,84.4
AAA,2013J,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,
AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,61.5
AAA,2013J,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,80.2
AAA,2013J,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,72.6
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,45.0
AAA,2013J,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,73.6
AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,68.8
AAA,2013J,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,54.4
AAA,2013J,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,50.0
AAA,2013J,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,73.75
AAA,2013J,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,52.0
AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,72.0
AAA,2013J,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,50.0
AAA,2013J,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,67.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,79.8
AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,80.0
AAA,2013J,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,70.6
AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,66.5
AAA,2013J,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,71.8
AAA,2013J,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,69.4
AAA,2013J,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,66.4
AAA,2013J,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,69.6
AAA,2013J,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass,61.4
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,80.4
AAA,2013J,M,North Region,HE Qualification,,35-55,0,60,N,Pass,82.4
AAA,2013J,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,78.2
AAA,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,37.6
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,53.4
AAA,2013J,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,76.0
AAA,2013J,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,54.0
AAA,2013J,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,49.0
AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,59.8
AAA,2013J,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,74.0
AAA,2013J,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,76.0
AAA,2013J,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,89.2
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,76.0
AAA,2013J,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,79.4
AAA,2013J,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,68.4
AAA,2013J,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,50.0
AAA,2013J,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,54.4
AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,66.66666666666667
AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,72.2
AAA,2013J,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,56.666666666666664
AAA,2013J,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,83.6
AAA,2013J,M,Ireland,HE Qualification,,0-35,0,180,N,Fail,62.6
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,72.4
AAA,2013J,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,61.8
AAA,2013J,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,66.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,78.0
AAA,2013J,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,67.75
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,65.0
AAA,2013J,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,78.0
AAA,2013J,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,79.2
AAA,2013J,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,75.8
AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,58.4
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,78.8
AAA,2013J,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,58.6
AAA,2013J,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,77.4
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,55.6
AAA,2013J,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,78.4
AAA,2013J,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,71.4
AAA,2013J,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,Pass,76.8
AAA,2013J,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,58.8
AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,64.8
AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,57.5
AAA,2013J,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,71.0
AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,76.6
AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,Fail,74.6
AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,43.0
AAA,2013J,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,76.4
AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,67.66666666666667
